news_headline,news_article,news_category,full_text,clean_text
Dell announces a special month for small businesses,"Dell launched ""Small Business Month"" to celebrate the entrepreneurial spirit & its role in sustaining the economy. The program focuses on rewarding SMBs by offering innovative products & solutions with savings upto ₹31,999, cashback promotions, customize & buy options & more. Dell added that its technology advisors provide tailored tech solutions with Intel vPro® platform to further boost business productivity.",technology,"Dell announces a special month for small businesses. Dell launched ""Small Business Month"" to celebrate the entrepreneurial spirit & its role in sustaining the economy. The program focuses on rewarding SMBs by offering innovative products & solutions with savings upto ₹31,999, cashback promotions, customize & buy options & more. Dell added that its technology advisors provide tailored tech solutions with Intel vPro® platform to further boost business productivity.",dell announce special month small business dell launch small business month celebrate entrepreneurial spirit role sustain economy program focus rewarding smb offer innovative product solution saving upto cashback promotion customize buy options dell add technology advisor provide tailored tech solution intel vpro platform boost business productivity
OPPO launches #BeTheInfinite campaign with MS Dhoni to inspire people,"OPPO's #BeTheInfinite campaign in association with MS Dhoni aims to focus on motivating people to always keep the passion alive, no matter what hurdles life throws. OPPO also launched a microfilm highlighting Dhoni's zeal in life to continue his passion through utmost dedication which aims to inspire people.",technology,"OPPO launches #BeTheInfinite campaign with MS Dhoni to inspire people. OPPO's #BeTheInfinite campaign in association with MS Dhoni aims to focus on motivating people to always keep the passion alive, no matter what hurdles life throws. OPPO also launched a microfilm highlighting Dhoni's zeal in life to continue his passion through utmost dedication which aims to inspire people.",oppo launches betheinfinite campaign ms dhoni inspire people oppos betheinfinite campaign association ms dhoni aim focus motivate people always keep passion alive no matter hurdle life throw oppo also launch microfilm highlight dhonis zeal life continue passion utmost dedication aim inspire people
OnePlus 8T to be among the first to launch with Android 11,"The upcoming OnePlus 8T smartphone will launch with OxygenOS 11 out of the box, the company announced, adding that it'll be among the first global smartphones to launch with Android 11. The new operating system will come with a new layout, which moves touch controls closer to the user's thumbs, new Always on Display options, and new animations and gestures.",technology,"OnePlus 8T to be among the first to launch with Android 11. The upcoming OnePlus 8T smartphone will launch with OxygenOS 11 out of the box, the company announced, adding that it'll be among the first global smartphones to launch with Android 11. The new operating system will come with a new layout, which moves touch controls closer to the user's thumbs, new Always on Display options, and new animations and gestures.",oneplus among first launch android upcoming oneplus smartphone launch oxygenos box company announce add among first global smartphone launch android new operating system come new layout move touch control close user thumb new always display option new animation gesture
"Russian hacker who hacked LinkedIn, Dropbox gets 7 years in jail","Yevgeniy Nikulin, a 32-year-old Russian hacker who stole the logins of 117 million users of LinkedIn, Dropbox and Formspring, has been sentenced to more than seven years in prison in the US. He was convicted in July after a six-day jury trial. The hacking orchestrated by him is said to be one of the largest data breaches in US history.",technology,"Russian hacker who hacked LinkedIn, Dropbox gets 7 years in jail. Yevgeniy Nikulin, a 32-year-old Russian hacker who stole the logins of 117 million users of LinkedIn, Dropbox and Formspring, has been sentenced to more than seven years in prison in the US. He was convicted in July after a six-day jury trial. The hacking orchestrated by him is said to be one of the largest data breaches in US history.",russian hacker hack linkedin dropbox get year jail yevgeniy nikulin year old russian hacker steal login million user linkedin dropbox formspring sentence seven year prison us convict july six day jury trial hacking orchestrate say one large data breach us history
Elon Musk calls Bill Gates 'knucklehead' for criticising his COVID-19 response,"Tesla CEO Elon Musk, during a podcast on The New York Times, called Bill Gates a ""knucklehead"" for criticising his response to the novel coronavirus. ""Gates said something about me not knowing what I was doing,"" said Musk. ""It's like, hey, knucklehead, we (Tesla) actually make the vaccine machines for CureVac, that company you've invested in,"" added Musk.",technology,"Elon Musk calls Bill Gates 'knucklehead' for criticising his COVID-19 response. Tesla CEO Elon Musk, during a podcast on The New York Times, called Bill Gates a ""knucklehead"" for criticising his response to the novel coronavirus. ""Gates said something about me not knowing what I was doing,"" said Musk. ""It's like, hey, knucklehead, we (Tesla) actually make the vaccine machines for CureVac, that company you've invested in,"" added Musk.",elon musk call bill gates knucklehead criticise covid response tesla ceo elon musk podcast new york times call bill gate knucklehead criticise response novel coronavirus gates say something not know say musk like hey knucklehead tesla actually make vaccine machine curevac company invest add musk
"Zomato, Swiggy get Google notice for violating Play Store guidelines: Report","Google has reportedly sent notices to food delivery apps Zomato and Swiggy for allegedly violating its Play Store guidelines. The apps were told their in-app gamification feature violated the Play Store guidelines. While Zomato confirmed receiving the notice and called it ""unfair"",  Swiggy didn't confirm the same but said it has temporarily paused its in-app gamification product.",technology,"Zomato, Swiggy get Google notice for violating Play Store guidelines: Report. Google has reportedly sent notices to food delivery apps Zomato and Swiggy for allegedly violating its Play Store guidelines. The apps were told their in-app gamification feature violated the Play Store guidelines. While Zomato confirmed receiving the notice and called it ""unfair"",  Swiggy didn't confirm the same but said it has temporarily paused its in-app gamification product.",zomato swiggy get google notice violate play store guideline report google reportedly send notice food delivery apps zomato swiggy allegedly violate play store guideline app tell app gamification feature violate play store guideline zomato confirm receive notice call unfair swiggy not confirm say temporarily pause app gamification product
"Ok, ok, I'll upgrade: Hillary Clinton after hitting Zoom time limit on live TV","Former US presidential candidate Hillary Clinton was prompted with a time limit notification during a virtual TV interview being conducted over Zoom. ""Your meeting will end in 10 min. Contact your IT team to upgrade to Zoom Pro for unlimited group meeting minutes,"" the message read. After screengrabs of the interview went viral, Hillary Clinton tweeted, ""Ok, ok, I'll upgrade.""",technology,"Ok, ok, I'll upgrade: Hillary Clinton after hitting Zoom time limit on live TV. Former US presidential candidate Hillary Clinton was prompted with a time limit notification during a virtual TV interview being conducted over Zoom. ""Your meeting will end in 10 min. Contact your IT team to upgrade to Zoom Pro for unlimited group meeting minutes,"" the message read. After screengrabs of the interview went viral, Hillary Clinton tweeted, ""Ok, ok, I'll upgrade.""",ok ok upgrade hillary clinton hit zoom time limit live tv former us presidential candidate hillary clinton prompt time limit notification virtual tv interview conduct zoom meeting end min contact team upgrade zoom pro unlimited group meeting minute message read screengrab interview go viral hillary clinton tweet ok ok upgrade
"Multiple Apple services including App Store, Music, TV+ suffer outage","Several Apple services including App Store, Apple TV+, iTunes U and the Mac App Store suffered an outage on Tuesday evening. Apple's system status page showed that as many as 25 services faced an outage, which took multiple hours to get resolved. The iPhone maker didn't release a public statement but told The Verge that ""some users are affected"". ",technology,"Multiple Apple services including App Store, Music, TV+ suffer outage. Several Apple services including App Store, Apple TV+, iTunes U and the Mac App Store suffered an outage on Tuesday evening. Apple's system status page showed that as many as 25 services faced an outage, which took multiple hours to get resolved. The iPhone maker didn't release a public statement but told The Verge that ""some users are affected"". ",multiple apple service include app store music tv suffer outage several apple service include app store apple tv itunes u mac app store suffer outage tuesday evening apple system status page show many service face outage take multiple hour get resolve iphone maker not release public statement tell verge user affect
Delhi HC declines PIL against Twitter over anti-India posts,"The Delhi High Court on Wednesday refused to entertain a PIL that sought action against Twitter for allegedly promoting anti-India propaganda, stating that no representation was made to the Central Government. The plea based on claims sought criminal action against Twitter for promoting the Khalistan movement. The petition also sought enquiry into the matter by the National Investigation Agency.",technology,"Delhi HC declines PIL against Twitter over anti-India posts. The Delhi High Court on Wednesday refused to entertain a PIL that sought action against Twitter for allegedly promoting anti-India propaganda, stating that no representation was made to the Central Government. The plea based on claims sought criminal action against Twitter for promoting the Khalistan movement. The petition also sought enquiry into the matter by the National Investigation Agency.",delhi hc decline pil twitter anti india post delhi high court wednesday refuse entertain pil seek action twitter allegedly promote anti india propaganda state no representation make central government plea base claim seek criminal action twitter promote khalistan movement petition also seek enquiry matter national investigation agency
"Paytm, several Indian startups explore creating alternate app store: Reports","Indian startups and entrepreneurs are reportedly in talks to form an alliance and create an alternative app store. Paytm's Vijay Shekhar Sharma, MakeMyTrip's Deep Kalra, PolicyBazaar and ShareChat are part of the alliance talks, as per reports. This comes after Paytm, Swiggy, Zomato recently got pulled up by Google's Play Store for violations and the platform's 30% tax policy announcement.",technology,"Paytm, several Indian startups explore creating alternate app store: Reports. Indian startups and entrepreneurs are reportedly in talks to form an alliance and create an alternative app store. Paytm's Vijay Shekhar Sharma, MakeMyTrip's Deep Kalra, PolicyBazaar and ShareChat are part of the alliance talks, as per reports. This comes after Paytm, Swiggy, Zomato recently got pulled up by Google's Play Store for violations and the platform's 30% tax policy announcement.",paytm several indian startup explore create alternate app store report indian startup entrepreneur reportedly talk form alliance create alternative app store paytms vijay shekhar sharma makemytrip deep kalra policybazaar sharechat part alliance talk per report come paytm swiggy zomato recently get pull google play store violation platform tax policy announcement
